type,strike,spot,t_days,bid,ask,last,volume,open_interest,yahoo_iv,bar_iv,bar_delta,bar_theta,bar_gamma,bar_vega
call,165.0,123.755,151,12.2,12.5,12.35,27.0,3245.0,0.7752097674560547,,,,,
call,170.0,123.755,151,11.2,11.5,11.38,73.0,1278.0,0.7745994219970704,,,,,
call,175.0,123.755,151,10.3,10.6,10.6,67.0,1187.0,0.7746604565429689,,,,,
call,180.0,123.755,151,9.5,9.8,9.6,185.0,3509.0,0.7756370092773439,,,,,
call,185.0,123.755,151,8.8,9.1,8.75,35.0,599.0,0.7779563220214845,,,,,
call,190.0,123.755,151,8.1,8.4,8.27,5.0,297.0,0.7780173565673829,,,,,
call,195.0,123.755,151,7.5,7.8,7.45,24.0,2946.0,0.7797873583984375,,,,,
call,200.0,123.755,151,7.0,7.2,7.12,241.0,8003.0,0.7815573602294923,,,,,
call,205.0,123.755,151,6.5,6.8,5.95,1.0,411.0,0.7856466748046875,,,,,
call,210.0,123.755,151,6.0,6.3,6.0,29.0,1332.0,0.786012882080078,,,,,
call,215.0,123.755,151,5.6,5.9,5.57,15.0,615.0,0.7889425402832031,,,,,
call,220.0,123.755,151,5.2,5.5,5.2,9.0,5649.0,0.7905294384765625,,,,,
call,225.0,123.755,151,4.9,5.1,4.78,11.0,668.0,0.7928487512207032,,,,,
call,230.0,123.755,151,4.6,4.8,4.9,25.0,626.0,0.7963887548828125,,,,,
call,235.0,123.755,151,4.3,4.5,4.54,9.0,293.0,0.7987080676269531,,,,,
call,240.0,123.755,151,4.1,4.3,4.19,1.0,500.0,0.8050556604003907,,,,,
call,245.0,123.755,151,3.8,4.1,3.71,4.0,244.0,0.8077411804199219,,,,,
call,250.0,123.755,151,3.6,3.8,3.65,19.0,1079.0,0.809450147705078,,,,,
call,255.0,123.755,151,3.4,3.6,4.0,9.0,1005.0,0.8128680822753906,,,,,
call,260.0,123.755,151,3.2,3.5,3.38,1.0,209.0,0.8186053295898437,,,,,
call,265.0,123.755,151,3.0,3.3,3.35,1.0,154.0,0.8203142968749999,,,,,
call,270.0,123.755,151,2.9,3.1,2.76,23.0,593.0,0.8244646459960936,,,,,
call,275.0,123.755,151,2.8,2.95,2.94,1.0,117.0,0.8294694787597656,,,,,
call,280.0,123.755,151,2.65,2.85,2.75,5.0,361.0,0.8339860351562498,,,,,
call,285.0,123.755,151,2.55,2.75,2.65,1.0,101.0,0.8394791442871092,,,,,
call,290.0,123.755,151,2.4,2.6,2.58,1.0,389.0,0.8409439733886719,,,,,
call,295.0,123.755,151,2.3,2.5,2.6,9.0,116.0,0.8453384606933592,,,,,
call,300.0,123.755,151,2.2,2.4,2.18,12.0,3034.0,0.8492446716308593,,,,,
call,305.0,123.755,151,2.15,2.3,2.4,23.0,80.0,0.8544936425781251,,,,,
call,310.0,123.755,151,2.05,2.2,2.65,3.0,286.0,0.85742330078125,,,,,
call,315.0,123.755,151,1.95,2.15,3.16,10.0,63.0,0.8619398571777344,,,,,
call,320.0,123.755,151,1.9,2.05,1.85,1.0,220.0,0.8659681372070311,,,,,
call,325.0,123.755,151,1.8,2.0,2.07,2.0,661.0,0.8696302099609375,,,,,
call,330.0,123.755,151,1.75,1.95,1.8,2.0,201.0,0.87500125,,,,,
call,335.0,123.755,151,1.7,1.85,2.65,6.0,470.0,0.877930908203125,,,,,
call,340.0,123.755,151,1.65,1.8,3.8,2.0,228.0,0.8825695336914061,,,,,
call,345.0,123.755,151,1.6,1.75,2.16,1.0,71.0,0.8872081591796874,,,,,
call,350.0,123.755,151,1.55,1.7,1.5,4.0,3212.0,0.8913585083007811,,,,,
call,355.0,123.755,151,1.5,1.65,2.0,3.0,500.0,0.8952647192382811,,,,,
call,360.0,123.755,151,1.45,1.6,1.48,1.0,1267.0,0.8986826538085937,,,,,
call,365.0,123.755,151,1.4,1.55,1.83,1.0,44.0,0.9021005883789062,,,,,
call,370.0,123.755,151,1.35,1.5,2.2,1.0,77.0,0.9050302465820312,,,,,
call,375.0,123.755,151,1.3,1.45,2.72,2.0,78.0,0.9077157666015624,,,,,
call,380.0,123.755,151,1.25,1.45,1.45,2.0,683.0,0.9128426684570312,,,,,
call,385.0,123.755,151,1.25,1.4,2.5,14.0,12.0,0.9179695703125,,,,,
call,390.0,123.755,151,1.2,1.35,1.88,4.0,22.0,0.9196785375976562,,,,,
call,395.0,123.755,151,1.15,1.3,1.9,2.0,2.0,0.9213875048828125,,,,,
call,400.0,123.755,151,1.15,1.3,1.15,5.0,2263.0,0.928711650390625,,,,,
call,405.0,123.755,151,1.1,1.25,2.26,2.0,135.0,0.9299323413085938,,,,,
call,410.0,123.755,151,1.1,1.25,1.15,5.0,126.0,0.9370123486328125,,,,,
call,415.0,123.755,151,1.05,1.2,1.11,3.0,2006.0,0.9377447631835938,,,,,
call,420.0,123.755,151,1.05,1.2,1.13,5.0,327.0,0.9448247705078124,,,,,
call,425.0,123.755,151,1.0,1.15,1.1,1.0,1276.0,0.9448247705078124,,,,,
call,430.0,123.755,151,1.0,1.15,1.12,1.0,48.0,0.9516606396484374,,,,,
call,435.0,123.755,151,0.95,1.1,1.1,7.0,267.0,0.9514165014648437,,,,,
call,440.0,123.755,151,0.95,1.1,1.25,15.0,619.0,0.9580082324218748,,,,,
call,445.0,123.755,151,0.9,1.05,1.05,6.0,282.0,0.9570316796874999,,,,,
call,450.0,123.755,151,0.9,1.05,0.97,14.0,2889.0,0.9633792724609375,,,,,
put,5.0,123.755,151,0.0,0.05,0.03,5.0,23.0,1.8281258593749998,,,,,
put,10.0,123.755,151,0.0,0.15,0.02,nan,2.0,1.5898458007812497,,,,,
put,15.0,123.755,151,0.0,0.15,0.1,4.0,13.0,1.32422212890625,,,,,
put,20.0,123.755,151,0.05,0.1,0.07,3.0,281.0,1.140629296875,,,,,
put,25.0,123.755,151,0.1,0.15,0.11,47.0,1280.0,1.0664109179687502,,,,,
put,30.0,123.755,151,0.15,0.25,0.17,1.0,240.0,1.009770576171875,,,,,
put,35.0,123.755,151,0.2,0.35,0.25,24.0,1086.0,0.94726615234375,,,,,
put,40.0,123.755,151,0.4,0.45,0.45,1.0,769.0,0.913086806640625,,,,,
put,45.0,123.755,151,0.6,0.7,0.7,33.0,383.0,0.8891612646484374,,,,,
put,50.0,123.755,151,0.9,0.95,0.95,253.0,1888.0,0.8625502026367188,,,,,
put,55.0,123.755,151,1.25,1.4,1.35,23.0,505.0,0.8454605297851561,,,,,
put,60.0,123.755,151,1.7,1.8,1.8,103.0,972.0,0.8200701586914061,,,,,
put,65.0,123.755,151,2.35,2.5,2.42,33.0,790.0,0.8117694604492187,,,,,
put,70.0,123.755,151,3.1,3.2,3.2,190.0,804.0,0.795900478515625,,,,,
put,75.0,123.755,151,4.0,4.3,4.24,829.0,3288.0,0.7902853002929688,,,,,
put,80.0,123.755,151,5.1,5.4,5.25,60.0,3465.0,0.7805197729492188,,,,,
put,85.0,123.755,151,6.4,6.7,6.79,76.0,1165.0,0.7727073510742188,,,,,
put,90.0,123.755,151,7.9,8.1,8.0,164.0,3249.0,0.7639183764648438,,,,,
put,95.0,123.755,151,9.6,9.9,9.8,830.0,2198.0,0.7606225109863283,,,,,
put,100.0,123.755,151,11.5,11.7,11.53,120.0,6879.0,0.7537256072998046,,,,,
put,105.0,123.755,151,13.5,13.9,13.75,34.0,1235.0,0.7495142236328125,,,,,
put,110.0,123.755,151,15.8,16.1,16.02,222.0,3022.0,0.7442042181396484,,,,,
put,115.0,123.755,151,18.2,18.5,18.45,61.0,6019.0,0.7380397290039062,,,,,
put,120.0,123.755,151,20.8,21.2,21.0,553.0,2393.0,0.7344997253417969,,,,,
put,125.0,123.755,151,23.7,24.0,23.8,1030.0,5713.0,0.7320583435058592,,,,,
put,130.0,123.755,151,26.6,26.9,26.81,51.0,5329.0,0.7261379925537108,,,,,
put,135.0,123.755,151,29.7,30.1,29.92,105.0,12589.0,0.7233304034423829,,,,,
put,140.0,123.755,151,33.0,33.4,33.6,7.0,9837.0,0.72070591796875,,,,,
put,145.0,123.755,151,36.3,37.0,37.54,4.0,3836.0,0.7185086743164062,,,,,
put,150.0,123.755,151,39.8,40.8,40.98,30.0,5311.0,0.7186917779541016,,,,,
put,155.0,123.755,151,43.5,44.8,44.5,7.0,1463.0,0.7215604016113282,,,,,
put,160.0,123.755,151,47.2,48.8,49.47,109.0,2655.0,0.7209500561523439,,,,,
put,165.0,123.755,151,51.1,52.5,52.13,19.0,1867.0,0.7153348779296875,,,,,
put,170.0,123.755,151,55.1,56.8,58.5,2.0,1194.0,0.7184476397705077,,,,,
put,175.0,123.755,151,59.2,60.0,60.3,30.0,1840.0,0.7006865869140625,,,,,
put,180.0,123.755,151,63.2,64.7,64.87,6.0,2498.0,0.7050810742187501,,,,,
put,185.0,123.755,151,67.6,69.5,67.0,3.0,192.0,0.716677637939453,,,,,
put,190.0,123.755,151,71.9,73.7,74.85,1.0,611.0,0.7125272888183594,,,,,
put,195.0,123.755,151,75.9,78.3,69.09,27.0,1884.0,0.7076445251464845,,,,,
put,200.0,123.755,151,80.4,82.5,83.7,400.0,5483.0,0.7022734851074219,,,,,
put,205.0,123.755,151,84.8,87.5,78.4,4.0,595.0,0.7102079760742188,,,,,
put,210.0,123.755,151,89.3,92.1,82.72,2.0,990.0,0.7096586651611327,,,,,
put,215.0,123.755,151,94.0,97.1,95.1,28.0,385.0,0.7220486779785156,,,,,
put,220.0,123.755,151,98.5,102.1,100.25,1.0,215.0,0.7282742016601562,,,,,
put,225.0,123.755,151,103.3,107.1,104.63,2.0,70.0,0.7413355944824218,,,,,
put,230.0,123.755,151,107.9,112.1,91.63,3.0,43.0,0.7482324981689454,,,,,
put,235.0,123.755,151,112.4,117.1,86.77,9.0,35.0,0.7513452600097656,,,,,
put,240.0,123.755,151,117.2,120.8,106.75,1.0,124.0,0.7226590234375,,,,,
put,245.0,123.755,151,122.0,125.8,93.8,1.0,42.0,0.7315700671386718,,,,,
put,250.0,123.755,151,126.6,129.9,121.0,2.0,123.0,0.7006865869140625,,,,,
put,255.0,123.755,151,131.5,134.9,119.57,10.0,47.0,0.7108183215332031,,,,,
put,260.0,123.755,151,136.5,139.9,124.0,1.0,19.0,0.724490059814453,,,,,
put,265.0,123.755,151,141.3,144.9,130.8,7.0,25.0,0.7297390307617188,,,,,
put,270.0,123.755,151,146.2,149.9,99.8,nan,6.0,0.7385280053710936,,,,,
put,275.0,123.755,151,151.0,154.9,138.46,10.0,18.0,0.7424342163085937,,,,,
put,280.0,123.755,151,155.7,159.7,127.05,33.0,84.0,0.7316921362304687,,,,,
put,285.0,123.755,151,160.6,163.9,126.0,4.0,26.0,0.6955596850585939,,,,,
put,290.0,123.755,151,165.6,168.9,152.75,3.0,2.0,0.7065459033203125,,,,,
put,295.0,123.755,151,170.3,173.9,120.46,nan,23.0,0.6982452050781252,,,,,
put,300.0,123.755,151,175.3,178.9,175.16,1.0,25.0,0.7084990087890625,,,,,
put,305.0,123.755,151,180.3,183.9,126.7,12.0,20.0,0.7187528125,,,,,
put,310.0,123.755,151,185.2,190.0,128.5,9.0,4.0,0.788088056640625,,,,,
put,315.0,123.755,151,190.2,194.9,131.9,3.0,18.0,0.7929708203125,,,,,
put,325.0,123.755,151,200.0,204.8,135.6,71.0,35.0,0.7956563403320311,,,,,
put,330.0,123.755,151,205.0,209.7,142.21,nan,1.0,0.7993184130859375,,,,,
put,335.0,123.755,151,209.7,214.7,146.31,nan,1.0,0.7895528857421875,,,,,
put,340.0,123.755,151,214.8,219.7,150.5,nan,18.0,0.8049335913085938,,,,,
put,345.0,123.755,151,219.7,224.6,204.0,nan,1.0,0.8002949658203125,,,,,
put,350.0,123.755,151,224.8,229.1,194.18,1.0,13.0,0.7788108056640625,,,,,
put,355.0,123.755,151,229.7,234.6,162.7,nan,7.0,0.8173846386718748,,,,,
put,365.0,123.755,151,239.5,244.5,228.6,1.0,1.0,0.8115253222656249,,,,,
put,380.0,123.755,151,254.6,259.4,232.89,1.0,1.0,0.8349625878906248,,,,,
put,400.0,123.755,151,274.3,278.5,210.9,nan,10.0,0.7128934960937501,,,,,
